No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"LP, VI, 85.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 87, 74.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 87.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 87.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 88, 75.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 88, 76.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 89.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 9, 17.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 91.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 92, 81.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 93, 84.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 98, 20.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 99, 21.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 99, 22.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, 999, 150.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, I, 181, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, I, 57, 12.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI, LP, 66, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI. 235, 30, 30.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VI. 76, 41.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1, 1071, 11.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1, 1071, 12.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1, 1119, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1, 710, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1, 730, 11.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1125, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1191, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1310, 2a.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 1754, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 250, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 431, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 63, 1a.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 664, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 69, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 7, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 71, 15.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, 889, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1018, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1019, 10.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1020, 14.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1021, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1024, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1024, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1024, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1025, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1026, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1026, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1027, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1028, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1028, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1028, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1029, 11.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1030, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1030.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1033, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1033, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1033.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1034, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1034, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1036, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1038, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1040, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1043, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1044, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1045, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1045, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1045, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1046, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1049, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1050, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1050, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1052, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1057, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1057, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1057, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1057, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1060, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1061, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1063, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1063, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1065, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1065, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1066, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1067.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1068, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1068, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1069, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1069, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1069, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1070, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1070, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1070, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1071, 10.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1071, 13.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1072, 14.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1072, 16.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1072, 18.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1073, 19.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1073, 20.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1073, 21.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1074, 22.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1074, 24.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1074, 25.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1075, 26.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1075, 27.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1076, 28.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1076, 29.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1076, 30.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1077, 31.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1077, 32.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1077, 33.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1077, 34.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1079.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 108, 20.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1080, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1081, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1082, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1082, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1084, 13.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1084, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 11, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 11, IV. 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 11, Vz, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 11, X, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1112, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1112, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1113, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1113, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1113, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1114, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1115, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1115, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1115, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1116, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1116, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1117, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1117, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1118, 10.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1120, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1120, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1121, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1123, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1124, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1124, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1126, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1126, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1128, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1129, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1129, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1129, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1130, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1130, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1131, 10.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1131, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1133, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1134.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1135, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1135, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1136, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1136, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1136, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1137, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1139, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1141, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1142, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1144, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1144.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1146, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1147, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1149, 1","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 115, 10, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1150, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1150, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1151, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1152.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1153, 10, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1155, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1155, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1155, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1156, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1156, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 116, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1160, 11, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1162, 11 , I, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1164, 11, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1164, 11, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1165, 11, 6.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1165, 11, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1166, 11, 10.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1166, 11, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1166, 11, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1167, 11, I, 11.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1167, 11, I, 13.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1167. 11, I, 12.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1169, 11, II, 1.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 117, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 117, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 117, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1170, 11, II, 2.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1170, 11, II, 3.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1171, 11, II, 4.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1171, 11, II, 5.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1172, 11, II, 7.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1173, 11, II, 8.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
"LP, VII, I, 1173, 11, II, 9.","Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,apkopojums,,,,,,
