No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"""Balss"" 1889. g. nr 29.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 10.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 12.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 21.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 24.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 29.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 3.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 3.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. g. nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889. nr. 5.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889., nr. 21.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889., nr. 21.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889., nr. 30.",Balss,Balss,periodika,,,,,,
"""Balss"" 1889.g. nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"" 1890. g. 9. nr.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891, nr. 36. ",Balss,Balss,periodika,,,,,,
"""Balss"" 1891. g. nr. 11.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891. g. nr. 30.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891. g. nr. 37.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891. g. nr. 43.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891. nr. 38.",Balss,Balss,periodika,,,,,,
"""Balss"" 1891., nr. 37.",Balss,Balss,periodika,,,,,,
"""Balss"" 1892, 7.",Balss,Balss,periodika,,,,,,
"""Balss"" 1892. g. nr. 13.",Balss,Balss,periodika,,,,,,
"""Balss"" 1892. g. nr. 18.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 26.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 26.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 28.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 37.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"" 1893. g. nr. 49.",Balss,Balss,periodika,,,,,,
"""Balss"" 1894. g nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"" 1894. g. 30. nr.",Balss,Balss,periodika,,,,,,
"""Balss"" 1894. g. 33. nr.",Balss,Balss,periodika,,,,,,
"""Balss"" 1894. g. nr. 15.",Balss,Balss,periodika,,,,,,
"""Balss"" 1894. g. nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"" 1896. g. nr. 16.",Balss,Balss,periodika,,,,,,
"""Balss"" 1896., nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"", 1885, nr. 35.",Balss,Balss,periodika,,,,,,
"""Balss"", 1885. g.",Balss,Balss,periodika,,,,,,
"""Balss"", 1886. g. nr. 36.",Balss,Balss,periodika,,,,,,
"""Balss"", 1886. g., 44. nr.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887. g. nr. 16.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887. g. nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887. g. nr. 50.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887. g., nr. 19.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887. g., nr. 32.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887., 4.",Balss,Balss,periodika,,,,,,
"""Balss"", 1887., 43.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g. nr. 32.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g. nr. 33.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g. nr. 37.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g. nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g., nr. 32.",Balss,Balss,periodika,,,,,,
"""Balss"", 1888. g., nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889 g., nr. 5.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g, nr. 1.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. 10. nr.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. 10. nr.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 1.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 1.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 16.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 16.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 24.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g. nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g., nr. 24.",Balss,Balss,periodika,,,,,,
"""Balss"", 1889. g., nr. 3.",Balss,Balss,periodika,,,,,,
"""Balss"", 1890. g. nr. 6.",Balss,Balss,periodika,,,,,,
"""Balss"", 1891. g. nr. 36.",Balss,Balss,periodika,,,,,,
"""Balss"", 1891. g. nr. 36.",Balss,Balss,periodika,,,,,,
"""Balss"", 1892. g., nr. 39.",Balss,Balss,periodika,,,,,,
"""Balss"", 1892. g., nr. 45.",Balss,Balss,periodika,,,,,,
"""Balss"", 1894, 11.",Balss,Balss,periodika,,,,,,
"""Balss"", 1894. g. nr. 1.",Balss,Balss,periodika,,,,,,
"""Balss"", 1894. g. nr. 23.",Balss,Balss,periodika,,,,,,
"""Balss"", 1896. g nr. 40.",Balss,Balss,periodika,,,,,,
"""Balss"". 1891. g., nr. 29.",Balss,Balss,periodika,,,,,,
"""Balt. Vēst."" 1890, nr. 106.",Baltijas Vēstnesis,BV,periodika,,,,,,
1880. g. Balsī nr. 55.,Balss,Balss,periodika,,,,,,
"1884. g. ""Balss"" 51.n–rā.",Balss,Balss,periodika,,,,,,
1887. g. Balsī Nr. 34.,Balss,Balss,periodika,,,,,,
1888. g. nr. 32.,Balss,Balss,periodika,,,,,,
